SampleID,SetType,ExpConditions,Run,collectionPathUri,File,File1,File2,File3
1,HF,01h-37C,1,/mnt/pacbio/primary/GL15-067_755/A01_1,m170525_235416_42200_c101220802550000001823278510171700_s1_p0.1.bax.h5,m170525_235416_42200_c101220802550000001823278510171700_s1_p0.2.bax.h5,m170525_235416_42200_c101220802550000001823278510171700_s1_p0.3.bax.h5,m170525_235416_42200_c101220802550000001823278510171700_s1_p0.bas.h5
2,HF,18h-37C,1,/mnt/pacbio/primary/GL15-067_755/B01_1,m170526_062207_42200_c101220802550000001823278510171701_s1_p0.1.bax.h5,m170526_062207_42200_c101220802550000001823278510171701_s1_p0.2.bax.h5,m170526_062207_42200_c101220802550000001823278510171701_s1_p0.3.bax.h5,m170526_062207_42200_c101220802550000001823278510171701_s1_p0.bas.h5
3,HF,cycled-5m,1,/mnt/pacbio/primary/GL15-067_755/C01_1,m170526_125110_42200_c101220802550000001823278510171702_s1_p0.1.bax.h5,m170526_125110_42200_c101220802550000001823278510171702_s1_p0.2.bax.h5,m170526_125110_42200_c101220802550000001823278510171702_s1_p0.3.bax.h5,m170526_125110_42200_c101220802550000001823278510171702_s1_p0.bas.h5
4,HF,cycled-1m,1,/mnt/pacbio/primary/GL15-079_766/G01_1,m170625_132102_42200_c101221752550000001823286811021704_s1_p0.1.bax.h5,m170625_132102_42200_c101221752550000001823286811021704_s1_p0.2.bax.h5,m170625_132102_42200_c101221752550000001823286811021704_s1_p0.3.bax.h5,m170625_132102_42200_c101221752550000001823286811021704_s1_p0.bas.h5
5,LF,01h-37C,1,/mnt/pacbio/primary/GL15-085_782/A01_1,m170726_235743_42200_c101146052550000001823274307071790_s1_X0.1.bax.h5,m170726_235743_42200_c101146052550000001823274307071790_s1_X0.2.bax.h5,m170726_235743_42200_c101146052550000001823274307071790_s1_X0.3.bax.h5,m170726_235743_42200_c101146052550000001823274307071790_s1_X0.bas.h5
6,LF,18h-37C,1,/mnt/pacbio/primary/GL15-085_782/B01_1,m170727_061532_42200_c101146052550000001823274307071791_s1_X0.1.bax.h5,m170727_061532_42200_c101146052550000001823274307071791_s1_X0.2.bax.h5,m170727_061532_42200_c101146052550000001823274307071791_s1_X0.3.bax.h5,m170727_061532_42200_c101146052550000001823274307071791_s1_X0.bas.h5
7,LF,cycled-5m,1,/mnt/pacbio/primary/GL15-085_782/C01_1,m170727_123748_42200_c101146052550000001823274307071792_s1_X0.1.bax.h5,m170727_123748_42200_c101146052550000001823274307071792_s1_X0.2.bax.h5,m170727_123748_42200_c101146052550000001823274307071792_s1_X0.3.bax.h5,m170727_123748_42200_c101146052550000001823274307071792_s1_X0.bas.h5
8,LF,cycled-1m,1,/mnt/pacbio/primary/GL15-085_782/D01_1,m170727_185748_42200_c101146052550000001823274307071793_s1_X0.1.bax.h5,m170727_185748_42200_c101146052550000001823274307071793_s1_X0.2.bax.h5,m170727_185748_42200_c101146052550000001823274307071793_s1_X0.3.bax.h5,m170727_185748_42200_c101146052550000001823274307071793_s1_X0.bas.h5
9,DP,01h-37C,1,/mnt/pacbio/primary/GL15-076_762/A01_1,m170614_190316_42200_c101185302550000001823275708211746_s1_p0.1.bax.h5,m170614_190316_42200_c101185302550000001823275708211746_s1_p0.2.bax.h5,m170614_190316_42200_c101185302550000001823275708211746_s1_p0.3.bax.h5,m170614_190316_42200_c101185302550000001823275708211746_s1_p0.bas.h5
10,DP,18h-37C,1,/mnt/pacbio/primary/GL15-079_766/E01_1,m170625_002915_42200_c101221752550000001823286811021702_s1_p0.1.bax.h5,m170625_002915_42200_c101221752550000001823286811021702_s1_p0.2.bax.h5,m170625_002915_42200_c101221752550000001823286811021702_s1_p0.3.bax.h5,m170625_002915_42200_c101221752550000001823286811021702_s1_p0.bas.h5
